C, r, R, R, R, R, r, R, R, R, R, R, r, R, R, R, R, R		 at 	-0.094339555	
C, r, R, R, R, R, r, R, R, R, R, R, r, R, R, R, R, R	0	 at 	-0.094339712			PREZERO after 18 iterates
C, r, R, R, R, R, r, R, R, R, R, R, r, R, R, R, R, L		 at 	-0.094340026	
C, r, R, R, R, R, r, R, R, R, R, L, r, R, R, R, R, L		 at 	-0.094342381	
C, r, R, R, R, R, r, R, R, R, R, L, r, R, R, R, R, R	0	 at 	-0.094342695			PREZERO after 18 iterates
C, r, R, R, R, R, r, R, R, R, R, L, r, R, R, R, R, R		 at 	-0.094342852	
C, r, R, R, R, R, r, R, R, R, R, L, L, R, R, R, r, R		 at 	-0.094350545	
C, r, R, R, R, R, r, R, R, R, R, L, L, R, R, L, R, R		 at 	-0.094350702	
C, r, R, R, R, R, r, R, R, R, R, L, L, L, L, R, R, R		 at 	-0.094352429	
C, r, R, R, R, R, r, R, R, R, R, L, L, L, L, L, R, R		 at 	-0.094352586	
C, r, R, R, R, R, r, R, R, R, R, L, L, r, R, R, R, R		 at 	-0.094354941	
C, r, R, R, R, R, r, R, R, R, R, L, L, r, R, R, R, R	0	 at 	-0.094355098			PREZERO after 18 iterates
C, r, R, R, R, R, r, R, R, R, R, L, R, r, R, R, R, R	0	 at 	-0.094355412			PREZERO after 18 iterates
C, r, R, R, R, R, r, R, R, R, R, L, R, r, R, R, R, R		 at 	-0.094355569	
C, r, R, R, R, R, r, R, R, R, R, L, R, L, R, R, R, R		 at 	-0.09435761	
C, r, R, R, R, R, r, R, R, R, R, L, R, L, R, R, R, R		 at 	-0.094357767	
C, r, R, R, R, R, r, R, R, R, R, L, R, L, L, L, R, R		 at 	-0.094358395	
